spotify_track_id,title,artist,album,release_date,popularity,duration_ms,tempo,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,sentiment_score,genres
6sGIMrtIzQjdzNndVxe397,So Easy (To Fall In Love),Olivia Dean,The Art of Loving,26/09/2025,92,169000,140,63,75,57,67,0,8,4,-6 dB,0.2974926810711622,pop soul
6FvMc0dfKvSbzFmqfT1GoG,TQMQA,Eladio Carrion,TQMQA,14/12/2023,50,169911,113,55,61,59,63,0,12,21,-8 dB,0.137997733,trap latino|urbano latino
46YjJXVXWHlQ21odKktg5e,MOJABI GHOST,Tainy,DATA,29/06/2023,81,232131,122,79,78,53,1,0,11,3,-3 dB,-0.113522704,
3bWRxb5rFHlmxo7mwDPNsO,Planteamiento Erróneo,Quevedo,Planteamiento Erróneo,16/10/2020,1,133003,88,52,80,47,73,0,14,45,-12 dB,-0.229997723,
35hYk23wFUOsHoQfljbz80,Lejos,Delaossa,Lejos,24/03/2020,59,202580,93,52,76,63,19,0,17,26,-7 dB,-0.200351886,
0hL9gOw6XBWsygEUcVjxEc,HYAENA,Travis Scott,UTOPIA,28/07/2023,67,222085,97,75,61,46,3,0,12,7,-5 dB,0.047885368,
1PH2MDbcBAU094DlgTIND1,THANK GOD,Travis Scott,UTOPIA,28/07/2023,69,184888,135,55,66,58,25,0,13,4,-7 dB,0.1855351241662147,
3KCNiDi9Pza6ZD8FggNoaw,MODERN JAM (feat. Teezo Touchdown),Travis Scott,UTOPIA,28/07/2023,66,255412,109,54,52,53,0,0,54,4,-6 dB,0.1730899227590396,
4kjI1gwQZRKNDkw1nI475M,MY EYES,Travis Scott,UTOPIA,28/07/2023,80,251249,119,62,46,28,65,0,12,5,-8 dB,0.0,
04WxWo7XeVyx22xEsrWRUb,GOD'S COUNTRY,Travis Scott,UTOPIA,28/07/2023,63,127991,150,65,62,14,2,0,14,4,-6 dB,0.073297099,
7LSpFCvRZZot2AlmkUzy9k,SIRENS,Travis Scott,UTOPIA,28/07/2023,65,204447,96,88,59,24,10,0,77,7,-6 dB,0.053959857,
67nepsnrcZkowTxMWigSbb,MELTDOWN (feat. Drake),Travis Scott,UTOPIA,28/07/2023,73,246133,112,77,56,40,1,0,40,35,-5 dB,-0.193928216,
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),Travis Scott,UTOPIA,28/07/2023,84,191700,148,88,57,20,3,0,14,6,-3 dB,-0.166417738,
0OEe83mMZ5kaNw5uZQ7ilG,DELRESTO (ECHOES) (feat. Beyoncé),Travis Scott,UTOPIA,28/07/2023,59,274137,116,61,67,51,46,0,33,5,-6 dB,0.1393377696605105,
6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,Travis Scott,UTOPIA,28/07/2023,80,211582,118,62,93,82,2,0,10,5,-4 dB,-0.048071403,
0lodMO0qK83vfPiiD7FMEt,TOPIA TWINS (feat. Rob49 & 21 Savage),Travis Scott,UTOPIA,28/07/2023,72,223173,160,57,72,33,6,0,7,9,-4 dB,0.0,
4GL9GMX9t7Qkprvf1YighZ,CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),Travis Scott,UTOPIA,28/07/2023,66,258842,125,76,68,25,0,1,37,3,-6 dB,0.048771816,
2Q0aElTZQtEUsoiaQfizu6,PARASAIL (feat. Yung Lean & Dave Chappelle),Travis Scott,UTOPIA,28/07/2023,57,154964,76,40,36,21,86,0,21,4,-9 dB,0.1955309981299985,
0bkV1iQHSxBaksUqgEkcbc,SKITZO (feat. Young Thug),Travis Scott,UTOPIA,28/07/2023,67,366592,83,55,47,35,10,0,35,25,-7 dB,0.0,
7EiUtdeoWcKqLi5ELZCjYf,LOST FOREVER (feat. Westside Gunn),Travis Scott,UTOPIA,28/07/2023,62,163071,89,80,65,31,9,0,10,23,-4 dB,-0.005510388,
0a4SMs889NwP8oWI7Vemle,LOOOVE (feat. Kid Cudi),Travis Scott,UTOPIA,28/07/2023,62,226715,111,74,68,11,7,0,39,4,-4 dB,0.2041122407929317,
4o82J5zr4DFEs9yj5szCVX,K-POP (feat. Bad Bunny & The Weeknd),Travis Scott,UTOPIA,28/07/2023,60,185220,121,62,81,55,4,0,67,6,-6 dB,0.019456208,
1i9lZvlaDdWDPyXEE95aiq,TELEKINESIS (feat. SZA & Future),Travis Scott,UTOPIA,28/07/2023,76,353754,83,54,46,22,57,0,17,3,-5 dB,0.1075740812838762,
76gcXhY3Zv6wW0BTe9nHJo,TIL FURTHER NOTICE (feat. James Blake & 21 Savage),Travis Scott,UTOPIA,28/07/2023,75,314836,77,66,65,15,17,1,13,12,-7 dB,0.031680216,
6MXXY2eiWkpDCezVCc0cMH,Good Morning,Kanye West,Graduation,11/09/2007,72,195093,84,63,48,52,8,0,15,12,-5 dB,0.094340625,
4UQMOPSUVJVicIQzjAcRRZ,Champion,Kanye West,Graduation,11/09/2007,73,167600,102,50,71,73,0,0,70,23,-8 dB,0.05631249,
0j2T0R9dR9qdJYsB7ciXhf,Stronger,Kanye West,Graduation,11/09/2007,82,311866,104,72,62,50,1,0,41,14,-8 dB,0.084845796,
7rbECVPkY5UODxoOUVKZnA,I Wonder,Kanye West,Graduation,11/09/2007,82,243440,191,47,54,13,14,0,13,8,-9 dB,0.1677858997826223,
4ZPdLEztrlZqbJkgHNw54L,Good Life,Kanye West,Graduation,11/09/2007,74,207000,83,81,44,49,0,0,44,35,-7 dB,0.1431236339733004,
0mEdbdeRFQwBhN4xfyIeUM,Can't Tell Me Nothing,Kanye West,Graduation,11/09/2007,82,271600,80,62,59,11,1,0,82,4,-6 dB,-0.088351424,
7387VaiHpOsSIZ5nmjseya,Barry Bonds,Kanye West,Graduation,11/09/2007,62,204306,165,62,48,71,4,0,34,38,-6 dB,0.1099600659217685,
7DRuzSlhjKadgdsQRYZ0tr,Drunk and Hot Girls,Kanye West,Graduation,11/09/2007,60,313226,83,44,66,31,7,0,14,3,-7 dB,-0.103184765,
5TRPicyLGbAF2LGBFbHGvO,Flashing Lights,Kanye West,Graduation,11/09/2007,86,237506,90,63,64,43,4,0,39,4,-8 dB,0.2012986792845928,
0NrtwAmRAdLxua31SzHvXr,Everything I Am,Kanye West,Graduation,11/09/2007,74,227893,80,62,63,77,47,0,15,26,-7 dB,-0.043912618,
0lWjRSzq5chA9fps3pM8Zr,The Glory,Kanye West,Graduation,11/09/2007,66,212706,84,64,42,71,5,0,17,29,-7 dB,-0.092992036,
4iz9lGMjU1lXS51oPmUmTe,Homecoming,Kanye West,Graduation,11/09/2007,82,203493,87,75,67,92,34,0,12,19,-7 dB,0.1090877571555434,
2L47m9erkB5KBZcaqWtYen,Big Brother,Kanye West,Graduation,11/09/2007,63,287560,78,74,51,30,21,0,6,26,-6 dB,0.015319539,
3bhyo2ED5Yd4RLydQBDtD6,Good Night,Kanye West,Graduation,11/09/2007,62,185973,89,53,70,69,18,0,19,23,-11 dB,0.2144864211316968,
5bjB0xPlN7fR1roEedzQvg,Felt Good About You,Gracie Abrams,The Secret of Us (Deluxe),18/10/2024,59,164693,192,56,56,41,83,0,10,35,-9 dB,0.058252546,
6KJUSJHXRrTjSMpi9PzjEy,Risk,Gracie Abrams,The Secret of Us (Deluxe),18/10/2024,60,191586,113,50,72,56,51,0,11,6,-6 dB,0.059868316,
7yjPDFhCUFGa90GKORcUTY,Blowing Smoke,Gracie Abrams,The Secret of Us (Deluxe),18/10/2024,60,232280,140,63,62,37,26,0,9,8,-5 dB,0.1475905186876102,
5W4FHsvv4PwqC5gYzXyrLI,"I Love You, I'm Sorry",Gracie Abrams,The Secret of Us (Deluxe),18/10/2024,59,157146,116,41,53,34,66,0,13,3,-8 dB,0.1399661686271429,
5WcsxoURbNjQPQvzKpHUMn,us. (feat. Taylor Swift),Gracie Abrams,The Secret of Us (Deluxe),18/10/2024,59,242666,102,55,53,39,50,0,9,3,-6 dB,0.056377744,
3aGv9jITId050BkCMddYOX,Let It Happen,Gracie Abrams,The Secret of Us (Deluxe),18/10/2024,59,260946,92,57,53,22,62,0,11,4,-5 dB,-0.025714025,
2eqpaZGKGBdhcKzRKyKnyC,Tough Love,Gracie Abrams,The Secret of Us (Deluxe),18/10/2024,58,169146,90,72,55,66,37,0,9,7,-4 dB,-0.130903189,
7zVDbw7EEqN1FMTQOfLS2p,"I Knew It, I Know You",Gracie Abrams,The Secret of Us (Deluxe),18/10/2024,58,252920,81,44,32,33,74,0,12,3,-7 dB,0.03046123,
7GaLluiRWvNfhayWKIZ9Xt,Gave You I Gave You I,Gracie Abrams,The Secret of Us (Deluxe),18/10/2024,56,269280,108,32,60,5,81,0,12,3,-7 dB,-0.003647633,
